,Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
6246,Standard Class,Home Office,United States,Seattle,Washington,98105,West,Technology,Accessories,13.98,2,0.0,6.0114
7995,Second Class,Consumer,United States,Aurora,Colorado,80013,West,Office Supplies,Binders,9.612,6,0.7,-7.3692
8966,Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19120,East,Technology,Accessories,72.0,1,0.2,14.4
7776,Standard Class,Home Office,United States,Moreno Valley,California,92553,West,Office Supplies,Fasteners,7.86,3,0.0,3.6156
3085,Standard Class,Consumer,United States,Houston,Texas,77070,Central,Technology,Accessories,127.984,2,0.2,15.998
7308,Second Class,Consumer,United States,San Jose,California,95123,West,Office Supplies,Envelopes,158.13,3,0.0,77.4837
4385,Standard Class,Consumer,United States,Highland Park,Illinois,60035,Central,Furniture,Bookcases,913.43,5,0.3,-52.196
1201,Standard Class,Corporate,United States,Denver,Colorado,80219,West,Office Supplies,Binders,1.872,3,0.7,-1.4352
2615,Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Binders,18.288,6,0.2,5.715
9570,Same Day,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Storage,33.568,2,0.2,1.6784
82,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,21.39,1,0.0,6.2031
362,Standard Class,Consumer,United States,New York City,New York,10009,East,Furniture,Chairs,488.646,3,0.1,86.8704
3536,Second Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Storage,40.74,3,0.0,0.4074
5171,Second Class,Corporate,United States,Detroit,Michigan,48205,Central,Office Supplies,Paper,144.12,3,0.0,69.1776
6123,Standard Class,Home Office,United States,Bedford,Texas,76021,Central,Office Supplies,Paper,20.96,4,0.2,6.812
7624,Second Class,Home Office,United States,Detroit,Michigan,48234,Central,Office Supplies,Appliances,850.5,5,0.1,245.7
8597,Standard Class,Home Office,United States,San Francisco,California,94122,West,Office Supplies,Binders,67.136,4,0.2,25.176
2396,Standard Class,Corporate,United States,New York City,New York,10035,East,Office Supplies,Paper,37.0,5,0.0,16.65
2836,Standard Class,Consumer,United States,Los Angeles,California,90036,West,Office Supplies,Paper,19.44,3,0.0,9.3312
6474,First Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,61.96,4,0.5,-53.2856
5096,Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,10.776,3,0.6,-4.8492
1746,Second Class,Consumer,United States,Jacksonville,North Carolina,28540,South,Office Supplies,Binders,11.232,8,0.7,-8.2368
2747,Standard Class,Home Office,United States,Frisco,Texas,75034,Central,Technology,Accessories,27.168,4,0.2,-1.3584
7081,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Accessories,1012.68,3,0.2,303.804
7794,Second Class,Corporate,United States,Las Vegas,Nevada,89115,West,Office Supplies,Paper,97.88,2,0.0,48.94
8111,Second Class,Consumer,United States,San Angelo,Texas,76903,Central,Furniture,Chairs,248.43,5,0.3,-17.745
5745,First Class,Corporate,United States,Fairfield,California,94533,West,Furniture,Furnishings,21.56,7,0.0,6.8992
5031,Standard Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,119.616,8,0.2,40.3704
2643,Second Class,Home Office,United States,Raleigh,North Carolina,27604,South,Technology,Phones,36.792,1,0.2,4.1391
6138,Standard Class,Consumer,United States,San Francisco,California,94110,West,Furniture,Bookcases,205.666,2,0.15,-12.098
4271,Second Class,Corporate,United States,Baltimore,Maryland,21215,East,Furniture,Furnishings,207.76,4,0.0,85.1816
8837,Standard Class,Home Office,United States,Sandy Springs,Georgia,30328,South,Office Supplies,Labels,15.75,5,0.0,7.56
3379,Standard Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,10.272,3,0.2,3.21
7711,Second Class,Consumer,United States,Fayetteville,North Carolina,28314,South,Furniture,Furnishings,77.952,3,0.2,15.5904
8819,Standard Class,Consumer,United States,Austin,Texas,78745,Central,Office Supplies,Paper,335.52,4,0.2,117.432
8196,Standard Class,Consumer,United States,Knoxville,Tennessee,37918,South,Technology,Accessories,89.568,4,0.2,-1.1196
8532,Standard Class,Consumer,United States,Detroit,Michigan,48227,Central,Office Supplies,Storage,496.86,7,0.0,24.843
1723,Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Furniture,Bookcases,359.058,3,0.3,-71.8116
5391,Standard Class,Corporate,United States,Wilmington,Delaware,19805,East,Office Supplies,Labels,22.5,6,0.0,10.8
4672,Standard Class,Consumer,United States,Detroit,Michigan,48205,Central,Technology,Phones,635.96,4,0.0,165.3496
5688,Same Day,Consumer,United States,Apopka,Florida,32712,South,Office Supplies,Envelopes,48.944,7,0.2,16.5186
425,Second Class,Corporate,United States,Canton,Michigan,48187,Central,Furniture,Furnishings,28.4,2,0.0,11.076
1521,Standard Class,Consumer,United States,Tucson,Arizona,85705,West,Furniture,Furnishings,206.112,6,0.2,48.9516
5930,First Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Paper,15.552,3,0.2,5.4432
7720,Standard Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Envelopes,17.48,2,0.0,8.2156
1085,Standard Class,Consumer,United States,Yonkers,New York,10701,East,Technology,Machines,4899.93,7,0.0,2400.9657
9620,Standard Class,Home Office,United States,Lancaster,Ohio,43130,East,Office Supplies,Appliances,16.704,6,0.2,1.2528
8901,Standard Class,Consumer,United States,Decatur,Illinois,62521,Central,Office Supplies,Paper,18.496,4,0.2,6.7048
9090,First Class,Consumer,United States,Louisville,Kentucky,40214,South,Office Supplies,Storage,348.56,8,0.0,104.568
3681,Standard Class,Consumer,United States,Clinton,Maryland,20735,East,Office Supplies,Binders,84.09,3,0.0,42.045
2188,Standard Class,Consumer,United States,Columbus,Indiana,47201,Central,Furniture,Furnishings,121.3,2,0.0,25.473
2550,Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Labels,5.04,2,0.2,1.764
1093,Standard Class,Home Office,United States,Clinton,Maryland,20735,East,Office Supplies,Paper,28.9,5,0.0,14.161
7561,First Class,Consumer,United States,Lancaster,Pennsylvania,17602,East,Furniture,Chairs,170.786,1,0.3,0.0
2986,Standard Class,Home Office,United States,Columbus,Georgia,31907,South,Office Supplies,Paper,19.36,2,0.0,9.2928
9775,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Furniture,Furnishings,17.496,3,0.6,-10.0602
5565,Same Day,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Machines,209.986,2,0.3,8.9994
6491,Standard Class,Corporate,United States,Orlando,Florida,32839,South,Furniture,Bookcases,289.568,2,0.2,10.8588
6001,Standard Class,Corporate,United States,Phoenix,Arizona,85023,West,Furniture,Furnishings,87.96,3,0.2,7.6965
694,First Class,Home Office,United States,Chester,Pennsylvania,19013,East,Office Supplies,Art,198.272,8,0.2,17.3488
3343,Second Class,Consumer,United States,Quincy,Massachusetts,2169,East,Technology,Phones,59.97,3,0.0,28.7856
9587,Standard Class,Corporate,United States,Chicago,Illinois,60653,Central,Office Supplies,Storage,195.136,4,0.2,-43.9056
8314,Standard Class,Home Office,United States,League City,Texas,77573,Central,Office Supplies,Fasteners,3.488,2,0.2,0.5668
9795,Standard Class,Corporate,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,3.798,3,0.8,-5.8869
2608,Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Office Supplies,Labels,2.52,1,0.2,0.882
6668,Second Class,Consumer,United States,Vineland,New Jersey,8360,East,Office Supplies,Supplies,17.0,2,0.0,4.42
6644,Standard Class,Consumer,United States,Redmond,Oregon,97756,West,Technology,Phones,139.944,7,0.2,-31.4874
688,Standard Class,Consumer,United States,New York City,New York,10035,East,Furniture,Bookcases,191.984,2,0.2,4.7996
6505,Standard Class,Corporate,United States,Chicago,Illinois,60653,Central,Office Supplies,Art,5.304,3,0.2,0.4641
9575,Second Class,Consumer,United States,San Antonio,Texas,78207,Central,Furniture,Chairs,105.686,1,0.3,-28.6862
258,Second Class,Consumer,United States,New York City,New York,10009,East,Technology,Accessories,20.37,3,0.0,6.9258
330,First Class,Consumer,United States,Philadelphia,Pennsylvania,19143,East,Office Supplies,Binders,37.764,6,0.7,-27.6936
1303,Standard Class,Consumer,United States,Columbus,Georgia,31907,South,Furniture,Furnishings,23.99,1,0.0,5.5177
1254,Standard Class,Home Office,United States,Chester,Pennsylvania,19013,East,Technology,Phones,35.91,3,0.4,-8.379
4225,Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Furniture,Furnishings,94.428,3,0.6,-42.4926
1325,First Class,Consumer,United States,Chicago,Illinois,60653,Central,Office Supplies,Binders,17.46,6,0.8,-30.555
4732,Second Class,Consumer,United States,San Diego,California,92105,West,Technology,Accessories,53.25,3,0.0,20.7675
147,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,384.45,11,0.0,103.8015
4154,Standard Class,Corporate,United States,Bristol,Tennessee,37620,South,Office Supplies,Binders,38.088,4,0.7,-27.9312
7212,Standard Class,Corporate,United States,Seattle,Washington,98115,West,Office Supplies,Binders,11.232,3,0.2,3.9312
5265,First Class,Corporate,United States,Seattle,Washington,98103,West,Office Supplies,Paper,11.76,2,0.0,5.7624
482,Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Art,5.96,2,0.0,1.6688
4378,Second Class,Home Office,United States,Henderson,Kentucky,42420,South,Office Supplies,Envelopes,17.48,2,0.0,8.2156
7146,Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Storage,43.28,1,0.2,3.246
1388,Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Technology,Phones,104.85,3,0.0,28.3095
6286,Standard Class,Home Office,United States,Lebanon,Tennessee,37087,South,Technology,Phones,239.976,3,0.2,17.9982
2059,Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Fasteners,11.34,3,0.0,5.2164
479,Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Art,14.7,5,0.0,6.615
7247,Standard Class,Corporate,United States,Columbus,Ohio,43229,East,Furniture,Bookcases,302.45,5,0.5,-199.617
4564,Standard Class,Corporate,United States,Mesa,Arizona,85204,West,Office Supplies,Storage,100.704,6,0.2,-1.2588
888,Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Paper,34.68,6,0.0,16.9932
5966,Standard Class,Corporate,United States,San Francisco,California,94109,West,Technology,Phones,107.88,3,0.2,10.788
7322,Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Technology,Accessories,100.8,2,0.2,21.42
3651,Second Class,Consumer,United States,Detroit,Michigan,48234,Central,Office Supplies,Art,34.7,5,0.0,12.492
4992,Standard Class,Corporate,United States,Memphis,Tennessee,38109,South,Office Supplies,Envelopes,55.936,8,0.2,18.8784
6483,Standard Class,Corporate,United States,New York City,New York,10011,East,Furniture,Tables,384.768,2,0.4,-115.4304
5353,First Class,Corporate,United States,Monroe,Louisiana,71203,South,Office Supplies,Binders,87.28,8,0.0,41.0216
7057,Same Day,Consumer,United States,Anaheim,California,92804,West,Furniture,Tables,892.136,7,0.2,111.517
6543,First Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Storage,33.29,1,0.0,7.9896
7579,Second Class,Consumer,United States,Morristown,New Jersey,7960,East,Office Supplies,Appliances,2625.12,8,0.0,735.0336
3573,Standard Class,Consumer,United States,Long Beach,New York,11561,East,Office Supplies,Art,11.68,2,0.0,5.4896
7674,Second Class,Home Office,United States,Everett,Massachusetts,2149,East,Furniture,Tables,446.068,4,0.3,0.0
8042,Standard Class,Home Office,United States,Cambridge,Massachusetts,2138,East,Technology,Accessories,63.88,4,0.0,24.9132
4523,Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Labels,34.86,7,0.0,16.0356
6857,Standard Class,Consumer,United States,Los Angeles,California,90008,West,Office Supplies,Paper,28.14,3,0.0,13.5072
9372,First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,8.04,5,0.2,2.9145
7290,First Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,50.784,2,0.2,17.7744
2428,Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Office Supplies,Binders,8.272,4,0.8,-13.6488
4815,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Paper,18.264,3,0.2,6.1641
8848,First Class,Corporate,United States,Raleigh,North Carolina,27604,South,Technology,Phones,74.24,1,0.2,8.352
1872,Standard Class,Corporate,United States,San Francisco,California,94122,West,Furniture,Tables,272.848,1,0.2,27.2848
2038,Standard Class,Home Office,United States,Peoria,Arizona,85345,West,Office Supplies,Paper,11.952,3,0.2,4.3326
3205,Standard Class,Consumer,United States,San Diego,California,92037,West,Office Supplies,Paper,62.24,8,0.0,28.008
3515,Standard Class,Consumer,United States,Jackson,Mississippi,39212,South,Technology,Accessories,66.3,3,0.0,8.619
8419,First Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,Storage,66.96,4,0.0,2.6784
2680,Standard Class,Home Office,United States,Jackson,Michigan,49201,Central,Technology,Accessories,619.95,5,0.0,111.591
1171,Standard Class,Consumer,United States,Royal Oak,Michigan,48073,Central,Office Supplies,Paper,22.38,2,0.0,10.7424
5944,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Technology,Accessories,95.1,5,0.0,30.432
1040,Standard Class,Home Office,United States,Saint Peters,Missouri,63376,Central,Furniture,Tables,697.16,4,0.0,146.4036
7910,Standard Class,Consumer,United States,Morgan Hill,California,95037,West,Office Supplies,Storage,48.72,3,0.0,7.308
7996,First Class,Home Office,United States,San Diego,California,92037,West,Technology,Accessories,199.75,5,0.0,87.89
4017,Standard Class,Consumer,United States,Atlanta,Georgia,30318,South,Office Supplies,Paper,97.88,2,0.0,48.94
607,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Binders,3.282,2,0.7,-2.6256
5864,Second Class,Corporate,United States,Meriden,Connecticut,6450,East,Office Supplies,Appliances,79.47,3,0.0,22.2516
7231,First Class,Consumer,United States,Fairfield,Connecticut,6824,East,Office Supplies,Appliances,465.16,2,0.0,120.9416
8277,Standard Class,Home Office,United States,Tampa,Florida,33614,South,Office Supplies,Binders,34.86,2,0.7,-26.726
8051,Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Appliances,41.376,6,0.2,3.1032
6205,Second Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Paper,51.016,7,0.2,15.9425
244,Second Class,Home Office,United States,Lakeville,Minnesota,55044,Central,Furniture,Chairs,2001.86,7,0.0,580.5394
7668,Second Class,Home Office,United States,Everett,Massachusetts,2149,East,Office Supplies,Paper,40.08,6,0.0,19.2384
8452,Standard Class,Corporate,United States,Houston,Texas,77070,Central,Furniture,Chairs,344.372,4,0.3,-93.4724
4955,Second Class,Corporate,United States,North Las Vegas,Nevada,89031,West,Office Supplies,Paper,79.14,3,0.0,36.4044
5651,Second Class,Corporate,United States,Apple Valley,California,92307,West,Furniture,Bookcases,1194.165,5,0.15,210.735
8533,Standard Class,Consumer,United States,Detroit,Michigan,48227,Central,Furniture,Chairs,389.97,3,0.0,35.0973
2542,Second Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Appliances,143.952,3,0.2,14.3952
4441,Standard Class,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,Storage,965.85,5,0.0,135.219
8340,Standard Class,Consumer,United States,Chesapeake,Virginia,23320,South,Office Supplies,Paper,32.4,5,0.0,15.552
8156,Standard Class,Consumer,United States,Baltimore,Maryland,21215,East,Furniture,Tables,239.372,2,0.3,-23.9372
1290,First Class,Home Office,United States,San Francisco,California,94122,West,Office Supplies,Binders,13.216,4,0.2,4.4604
7460,Second Class,Consumer,United States,Los Angeles,California,90004,West,Technology,Copiers,639.968,4,0.2,215.9892
8571,Same Day,Home Office,United States,Dallas,Texas,75081,Central,Office Supplies,Paper,10.272,3,0.2,3.21
7616,Standard Class,Consumer,United States,Watertown,New York,13601,East,Office Supplies,Paper,18.54,2,0.0,8.7138
1613,Standard Class,Corporate,United States,Oakland,California,94601,West,Office Supplies,Storage,1000.02,7,0.0,290.0058
5132,Standard Class,Consumer,United States,Deltona,Florida,32725,South,Technology,Phones,107.976,3,0.2,37.7916
7285,Standard Class,Consumer,United States,San Francisco,California,94110,West,Technology,Accessories,46.36,4,0.0,15.2988
4692,First Class,Consumer,United States,Tucson,Arizona,85705,West,Office Supplies,Paper,221.92,5,0.2,77.672
1349,Standard Class,Consumer,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Binders,35.88,6,0.0,17.2224
2837,Standard Class,Consumer,United States,Los Angeles,California,90036,West,Office Supplies,Binders,121.6,5,0.2,39.52
367,Same Day,Corporate,United States,Manchester,Connecticut,6040,East,Office Supplies,Supplies,7.36,2,0.0,0.1472
9852,Standard Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Paper,13.08,2,0.0,6.0168
8141,Standard Class,Consumer,United States,San Diego,California,92037,West,Office Supplies,Labels,14.73,3,0.0,7.2177
203,Second Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Appliances,66.284,2,0.8,-178.9668
7525,Standard Class,Consumer,United States,Gresham,Oregon,97030,West,Furniture,Chairs,1487.04,5,0.2,148.704
2343,Second Class,Consumer,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,123.552,3,0.2,-29.3436
1350,Second Class,Consumer,United States,Evanston,Illinois,60201,Central,Furniture,Chairs,258.279,3,0.3,-70.1043
7773,Standard Class,Consumer,United States,Lancaster,Ohio,43130,East,Technology,Accessories,59.976,3,0.2,11.9952
2607,Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Technology,Accessories,24.672,3,0.2,0.0
873,Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,106.344,7,0.2,37.2204
1843,Second Class,Corporate,United States,San Antonio,Texas,78207,Central,Furniture,Furnishings,40.784,2,0.6,-30.588
2235,Second Class,Consumer,United States,Indianapolis,Indiana,46203,Central,Office Supplies,Storage,190.86,2,0.0,11.4516
5422,Standard Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Binders,11.232,3,0.2,3.9312
7682,First Class,Home Office,United States,Midland,Michigan,48640,Central,Office Supplies,Appliances,186.732,1,0.1,41.496
9701,Standard Class,Consumer,United States,San Luis Obispo,California,93405,West,Office Supplies,Fasteners,3.62,2,0.0,1.1946
8737,Standard Class,Corporate,United States,Chattanooga,Tennessee,37421,South,Office Supplies,Binders,8.1,5,0.7,-5.94
9242,Standard Class,Home Office,United States,San Francisco,California,94122,West,Office Supplies,Binders,14.304,6,0.2,4.6488
402,First Class,Consumer,United States,Miami,Florida,33180,South,Office Supplies,Paper,9.568,2,0.2,3.4684
2899,Standard Class,Consumer,United States,New York City,New York,10035,East,Technology,Copiers,479.984,2,0.2,59.998
9671,Standard Class,Consumer,United States,Dublin,California,94568,West,Technology,Phones,22.0,5,0.2,1.375
9393,First Class,Consumer,United States,New York City,New York,10011,East,Technology,Phones,629.95,5,0.0,157.4875
9744,Standard Class,Consumer,United States,Aurora,Illinois,60505,Central,Office Supplies,Envelopes,268.576,4,0.2,90.6444
4781,Standard Class,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Binders,1.476,3,0.8,-2.214
3383,Second Class,Consumer,United States,New York City,New York,10035,East,Furniture,Chairs,384.174,7,0.1,29.8802
7535,Standard Class,Corporate,United States,Los Angeles,California,90004,West,Office Supplies,Supplies,29.7,3,0.0,8.019
3210,Standard Class,Corporate,United States,Pearland,Texas,77581,Central,Office Supplies,Envelopes,13.392,3,0.2,5.022
684,Same Day,Corporate,United States,Burlington,North Carolina,27217,South,Office Supplies,Appliances,167.44,2,0.2,14.651
6425,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Technology,Copiers,8399.976,4,0.4,1119.9968
8889,Second Class,Home Office,United States,Columbia,Missouri,65203,Central,Technology,Phones,449.97,3,0.0,220.4853
4414,Standard Class,Corporate,United States,Lawrence,Massachusetts,1841,East,Office Supplies,Binders,387.99,1,0.0,182.3553
8332,First Class,Consumer,United States,Andover,Massachusetts,1810,East,Furniture,Chairs,354.9,5,0.0,88.725
1399,First Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Paper,6.48,1,0.0,3.1104
8377,Standard Class,Corporate,United States,Houston,Texas,77095,Central,Office Supplies,Storage,64.784,1,0.2,-14.5764
3466,Standard Class,Corporate,United States,Revere,Massachusetts,2151,East,Furniture,Bookcases,361.96,2,0.0,83.2508
3338,First Class,Consumer,United States,Oakland,California,94601,West,Office Supplies,Binders,117.144,9,0.2,42.4647
4186,Standard Class,Corporate,United States,Mcallen,Texas,78501,Central,Office Supplies,Binders,6.874,7,0.8,-10.6547
5242,Standard Class,Corporate,United States,Carrollton,Texas,75007,Central,Office Supplies,Binders,3.318,3,0.8,-5.6406
9946,Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Technology,Accessories,151.2,3,0.2,32.13
5220,Standard Class,Home Office,United States,Detroit,Michigan,48234,Central,Furniture,Bookcases,212.94,3,0.0,57.4938
7843,Second Class,Consumer,United States,Arlington,Virginia,22204,South,Office Supplies,Paper,71.28,11,0.0,34.2144
7727,Second Class,Home Office,United States,New York City,New York,10009,East,Office Supplies,Art,17.52,3,0.0,6.3072
561,Second Class,Consumer,United States,Tampa,Florida,33614,South,Office Supplies,Appliances,13.0,5,0.2,1.3
7918,Second Class,Home Office,United States,San Diego,California,92024,West,Office Supplies,Binders,22.848,2,0.2,7.4256
3689,Second Class,Consumer,United States,Mesa,Arizona,85204,West,Office Supplies,Envelopes,43.92,5,0.2,15.921
8650,Same Day,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Fasteners,5.7,5,0.0,2.679
3864,Standard Class,Consumer,United States,Champaign,Illinois,61821,Central,Furniture,Furnishings,151.96,5,0.6,-182.352
2423,Standard Class,Consumer,United States,Fairfield,Ohio,45014,East,Technology,Accessories,158.928,7,0.2,41.7186
4782,Standard Class,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Supplies,40.712,7,0.2,3.5623
257,Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Technology,Phones,647.904,6,0.2,56.6916
5118,Standard Class,Consumer,United States,Oceanside,New York,11572,East,Technology,Machines,629.93,7,0.0,296.0671
2624,First Class,Home Office,United States,New York City,New York,10024,East,Technology,Phones,2399.6,8,0.0,647.892
9741,Standard Class,Corporate,United States,Burlington,Vermont,5408,East,Furniture,Bookcases,4404.9,5,0.0,1013.127
1231,Second Class,Consumer,United States,Buffalo,New York,14215,East,Office Supplies,Art,2.78,2,0.0,0.7228
2828,First Class,Consumer,United States,Lancaster,Ohio,43130,East,Office Supplies,Paper,108.336,6,0.2,37.9176
4092,First Class,Consumer,United States,Akron,Ohio,44312,East,Office Supplies,Storage,221.024,2,0.2,-55.256
6691,Standard Class,Corporate,United States,Milwaukee,Wisconsin,53209,Central,Office Supplies,Appliances,155.88,6,0.0,54.558
2228,Standard Class,Consumer,United States,New York City,New York,10024,East,Furniture,Tables,330.588,1,0.4,-115.7058
8703,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Appliances,3.552,2,0.2,0.444
5,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Furnishings,48.86,7,0.0,14.1694
9642,Standard Class,Corporate,United States,Seattle,Washington,98103,West,Furniture,Chairs,436.704,6,0.2,21.8352
6643,Standard Class,Consumer,United States,Redmond,Oregon,97756,West,Technology,Phones,438.368,4,0.2,38.3572
1258,Second Class,Home Office,United States,Charlotte,North Carolina,28205,South,Office Supplies,Storage,540.048,3,0.2,-47.2542
298,Standard Class,Corporate,United States,Belleville,New Jersey,7109,East,Office Supplies,Paper,32.4,5,0.0,15.552
2786,First Class,Home Office,United States,Los Angeles,California,90036,West,Office Supplies,Fasteners,7.9,2,0.0,2.528
7986,Second Class,Consumer,United States,Long Beach,New York,11561,East,Technology,Phones,89.95,5,0.0,43.176
7431,Standard Class,Corporate,United States,Jackson,Mississippi,39212,South,Office Supplies,Appliances,32.67,3,0.0,8.4942
7189,First Class,Home Office,United States,San Diego,California,92024,West,Technology,Phones,203.976,3,0.2,25.497
9162,Standard Class,Consumer,United States,Eau Claire,Wisconsin,54703,Central,Furniture,Chairs,680.01,3,0.0,176.8026
4326,First Class,Corporate,United States,Plainfield,New Jersey,7060,East,Office Supplies,Art,9.21,3,0.0,2.3025
5420,Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,Phones,280.782,3,0.4,-60.8361
2884,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,17.456,2,0.2,5.8914
8581,Second Class,Corporate,United States,San Marcos,Texas,78666,Central,Office Supplies,Paper,10.368,2,0.2,3.6288
5644,First Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,Binders,34.76,5,0.2,11.297
7119,Standard Class,Corporate,United States,Seattle,Washington,98103,West,Office Supplies,Binders,13.904,2,0.2,4.5188
316,First Class,Corporate,United States,Philadelphia,Pennsylvania,19143,East,Office Supplies,Art,99.136,4,0.2,8.6744
6617,First Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,219.84,4,0.0,107.7216
773,Standard Class,Corporate,United States,Des Moines,Iowa,50315,Central,Office Supplies,Binders,7.71,1,0.0,3.4695
7221,Standard Class,Consumer,United States,New York City,New York,10035,East,Technology,Phones,137.94,3,0.0,35.8644
9231,Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,946.764,6,0.7,-694.2936
7214,Second Class,Corporate,United States,Detroit,Michigan,48205,Central,Office Supplies,Art,16.4,5,0.0,4.756
6422,Standard Class,Corporate,United States,Draper,Utah,84020,West,Technology,Accessories,111.93,7,0.0,34.6983
4207,Second Class,Consumer,United States,Cranston,Rhode Island,2920,East,Furniture,Furnishings,17.67,3,0.0,7.7748
613,Second Class,Corporate,United States,Philadelphia,Pennsylvania,19143,East,Technology,Phones,728.946,9,0.4,-157.9383
400,Second Class,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Storage,131.136,4,0.2,-32.784
6514,Standard Class,Home Office,United States,San Francisco,California,94109,West,Technology,Phones,206.384,2,0.2,23.2182
2533,Standard Class,Corporate,United States,Little Rock,Arkansas,72209,South,Technology,Accessories,339.96,4,0.0,122.3856
2350,Same Day,Corporate,United States,Los Angeles,California,90032,West,Office Supplies,Paper,10.86,2,0.0,5.3214
3945,Standard Class,Consumer,United States,Homestead,Florida,33030,South,Office Supplies,Paper,44.384,1,0.2,15.5344
9097,Standard Class,Consumer,United States,Bloomington,Indiana,47401,Central,Office Supplies,Paper,32.4,5,0.0,15.552
4410,Standard Class,Home Office,United States,Los Angeles,California,90004,West,Office Supplies,Art,107.94,6,0.0,30.2232
355,Standard Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Envelopes,8.26,2,0.0,3.7996
6036,Standard Class,Consumer,United States,Georgetown,Kentucky,40324,South,Furniture,Furnishings,42.6,3,0.0,16.614
2493,Second Class,Consumer,United States,Houston,Texas,77095,Central,Furniture,Tables,300.93,5,0.3,-34.392
1790,Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Paper,48.94,1,0.0,24.47
2968,Second Class,Consumer,United States,Fayetteville,North Carolina,28314,South,Office Supplies,Appliances,499.584,3,0.2,43.7136
3848,First Class,Consumer,United States,Fayetteville,Arkansas,72701,South,Office Supplies,Binders,691.96,4,0.0,318.3016
